subject,z_re_T2W40,z_pe_T2W40,z_l2_T2W40,z_density_T2W40,y_true,y_pred
CDMS-14-6B-KDCAHE,-0.17420107363677878,-0.23093063550956386,-0.037684610906921,-0.2881566170997181,22,13.710468504288453
CDMS-15-10A-AMALOS,-0.18040249679779627,-0.24720785679057403,-0.4848787971439829,0.030668810168048573,16,13.55962110087712
CDMS-15-10A-JJMACH,-0.11834122674168872,-0.4617313059660015,-0.4867743583190027,0.02939081345293338,6,13.403985363867681
CDMS-15-10A-MAALCA,-0.02769641734835911,2.5847877028660027,2.8660349038715824,-0.15660843158241594,13,19.70795919924824
CDMS-15-10A-MAALRI,-0.19658431906748794,-0.38676477578341406,-0.4145324513246598,0.20143828779920003,12,13.644998183065075
CDMS-15-10A-SGOMO,-0.12452721216556763,1.7025684814089919,0.5644835599942538,-0.08212177912506362,12,16.501844491554046
CDMS-15-10A-SHEGA,-0.1349842923070193,-0.3016793725947266,-0.41889224830412075,0.06503735174781593,13,13.65092287998338
CDMS-15-11B-JEMOLO,1.0214597014589988,-0.23049776318175297,-0.1716439688958777,-0.038054313983980556,19,15.022705096838843
CDMS-15-11B-VSAHO,-0.10045338893504849,-0.17871838749370905,0.5391501134683426,0.1483218863174417,12,14.849741664798454
CDMS-16-10A-SGALO,-0.13260327434190258,-0.2381155956402393,-0.23342760011706926,-0.2916129149201815,20,13.54568205642205
CDMS-16-11B-NGABE,-0.04146449604287596,-0.027868593183787465,1.0787693201293276,0.011109989011662935,28,15.461987661355753
CDMS-17-10A-ASSAMO,-0.19228429756546148,-0.2519298346601134,-0.23937157266096862,-0.30762007764978183,11,13.45023565890511
CDMS-18-7C-VVECA,0.7387454793459757,-0.28865567754666155,-0.30064039883940624,0.12862953642984123,5,14.719520380831188
CDMS-8-4A-DJAVDA,-0.23228376631943518,-0.18305777831562384,-0.07860188629552704,-5.3581235757428364e-05,5,13.947444429275105
CDMS-8-4A-DOSTR,-0.007019381476722972,-0.3630147217102204,-0.38692123211004986,0.06928992755984341,17,13.753776033704298
CDMS-8-4A-LGOPA,-0.10944905762158252,-0.3179864553919227,-0.35547664330246076,0.049818623645461496,12,13.708347908770934
CDMS-8-4C-JDBUTU,-0.19073497557711822,-0.468630431943505,-0.39876117099057024,0.05881454908039378,7,13.44212941201064
CDMS-9-4A-ACDUTR,-0.19489790342107008,-0.5050285724073965,-0.5094192191977677,0.09378858511301318,5,13.325884331528217
CDMS-9-4A-CARGA,-0.19976321926176271,-0.34715887274603036,-0.383147639211726,-0.036680898906504146,8,13.474690811315412
CDMS-9-4A-CRAAG,0.451708543841604,3.653617574856846,-0.4666659950888454,0.27553536414355556,32,18.355636929194606
CDMS-9-4A-EROHI,-0.09779596480554557,-0.44826381849871927,-0.5013768911930181,0.16619094953278868,5,13.56019571647695
CDMS-9-4A-ILOSE,-0.14571908286043259,-0.34636025652138747,-0.36868707028290715,-0.09931440804981721,7,13.48136062372689
CDMS-9-4A-TGAFR,-0.18359353370379433,-0.5350515377852745,-0.5329201560221071,-0.3193904499302697,6,12.870485763999996
CDMS-9-4C-SCAMO,-0.11557392637089871,-0.3820791784851992,-0.4162149730401306,0.03943213208071056,10,13.567005495625926
CDMS-9-5A-ABERO,-0.15657427031837648,0.1507324737833926,0.8564738515955119,0.3093138251726306,22,15.60138732167458
CDMS-9-5A-VVAAR,-0.15741713521432166,-0.38035616208736733,-0.3239966694715625,-0.4635393851355649,5,13.116132089532627
CDMS-9-5C-JDMADE,-0.10297024335191944,-0.3812759512193061,-0.4088636130244723,0.1470321418263321,15,13.695363775672076
CDMS-9-5C-LVIZAC,-0.12081829014056174,-0.1578684235315441,-0.5489879717304412,0.11625987955587018,6,13.730026635594765
CDMS-9-5C-MLOGO,-0.19845001015217487,-0.4175796521013503,-0.38933865270053947,0.07838659062583535,5,13.514459717113207
CDMS-XX-10A-VGILO,-0.175179817928957,-0.2583270399823939,-0.25030209767842926,-0.06537504890078086,17,13.692257436950872
CDMS-XX-5C-MPCAQU,-0.16824521169084647,-0.3002101389609221,-0.06020653739391862,0.06916683281962756,24,13.98194638621536
CDMS-XX-6B-SPUCA,-0.04364430719412777,-0.1830543281973866,-0.544873395747651,0.06229531797216951,2,13.732164728274439
CSO-10-4A-KCOMO,-0.14178369898293006,-0.4540226454673277,-0.4805239406532557,-0.2403974989969415,8,13.124713657340987
CSO-10-4A-LRAVI,-0.05160098805512061,-0.003260183976673306,1.0169510512207276,-0.030392352334413394,16,15.373138968295947
CSO-10-4A-LSCAVA,-0.17750409831758865,-0.27221483206441077,-0.22819758870647674,0.02475349177390371,22,13.788278414126852
CSO-10-5A-ACAVA,-0.15580444849752473,-0.41252458312427703,-0.44618561364580606,-0.31305837965429456,9,13.113868416519539
CSO-10-5A-ARACA,-0.10472125965194455,-0.27406157241815443,-0.5424337070791474,0.11998848154157894,5,13.640213383833773
CSO-10-5A-DABRZA,0.1612050102947858,0.8112709690333145,0.18452530064292746,0.20154764151888502,10,15.799990362931348
CSO-10-5A-GZAMA,1.073278490164756,-0.09855647171303016,-0.032211650100141605,0.17828366489295305,20,15.56223547468599
CSO-10-5A-IPECA,-0.12416746616359677,-0.3984050007859574,-0.4308912569658298,-0.1144043585994859,27,13.373573358926569
CSO-10-5A-JANORO,0.7044188447730286,-0.3825732809245888,-0.4136129834324088,0.15534866459757374,15,14.505022686455048
CSO-10-5A-JBUVE,0.04508485199818488,1.5525461572134174,1.99654451476945,0.2614270661272014,9,18.297044031549696
CSO-10-5A-JJSEMO,0.6063916265743565,-0.16522167931866089,0.13143187765491726,0.2473768845580382,23,15.261420150910086
CSO-10-5A-JLCARI,-0.068651970238804,3.582191168178214,2.8514527231288063,0.3214157009169751,24,21.127849063426638
CSO-10-5A-MAARAN,-0.19094648350357424,-0.2704827447552412,-0.2774735104006331,-0.3779344870838223,7,13.324604215698164
CSO-10-5A-RVMOIB,-0.13929965995709617,-0.2823167549440752,-0.47192306198337364,0.057026884972003915,15,13.604928849528887
CSO-10-5A-SVHEES,-0.05917764637322881,-0.2841253643481151,-0.20674471236614125,0.14720341717759006,10,14.038597135531537
CSO-11-5A-MDVOSPE,0.15189184390537636,-0.3075668577204817,-0.4826831227108807,0.07586870207725123,8,13.8789520069927
CSO-11-5A-MTAGA,-0.1317990527902483,-0.16895035777068385,-0.03489388228424735,-0.32052929448950424,12,13.78526885410676
CSO-11-6A-CAPAMU,-0.13493059780329358,-0.27235750819004306,-0.46462101709712805,0.000788929512689919,6,13.570321247863657
CSO-11-6A-DSCACH,-0.21177556922471472,-0.3932086073772969,-0.4238246601999957,-0.1475572109815163,2,13.265075393657915
CSO-11-6A-EROMO,-0.09749657076652944,-0.44547920711551914,-0.5002701142886321,0.07790721961352,14,13.476102768884274
CSO-11-6A-FSOVRE,-0.1581368823949789,0.26732744365947997,-0.05560221507170999,0.15672543079406318,15,14.651755218428294
CSO-11-6B-ANREVA,-0.1446090541708281,-0.4357658086349336,-0.4539852008414757,-0.0776642094456471,18,13.329417168348554
CSO-11-6B-DISEMO,-0.20976589949127686,-0.27741650689007585,-0.2624092244227776,0.012353188766776643,2,13.704202999404082
CSO-11-6B-LHFDLACH,0.04942122517743444,2.647782087105889,1.641913246798048,0.27513073746288025,21,19.055688737985697
CSO-11-6B-RJGIHE,-0.1393461090252075,-0.22278220468778206,-0.12544822367088632,0.008744008534777279,7,13.962608912592348
